2018-04-20 09:18:41,574 - rrc-process[0] - INFO - [('城市', '鞍山', '开始')] - [renrenche.py:381]
2018-04-20 09:18:43,831 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '奥迪', '车辆数:', 0, '耗时:', 0.7918791770935059, '秒')] - [renrenche.py:416]
2018-04-20 09:18:44,534 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '宝骏', '车辆数:', 0, '耗时:', 0.6737372875213623, '秒')] - [renrenche.py:416]
2018-04-20 09:18:45,352 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '宝马', '车辆数:', 0, '耗时:', 0.7673177719116211, '秒')] - [renrenche.py:416]
2018-04-20 09:18:46,231 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '保时捷', '车辆数:', 0, '耗时:', 0.8474960327148438, '秒')] - [renrenche.py:416]
2018-04-20 09:18:47,077 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '北京', '车辆数:', 0, '耗时:', 0.8180007934570312, '秒')] - [renrenche.py:416]
2018-04-20 09:18:47,908 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '北汽幻速', '车辆数:', 0, '耗时:', 0.8043205738067627, '秒')] - [renrenche.py:416]
2018-04-20 09:18:48,547 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '北汽绅宝', '车辆数:', 0, '耗时:', 0.5906858444213867, '秒')] - [renrenche.py:416]
2018-04-20 09:18:49,398 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '北汽威旺', '车辆数:', 0, '耗时:', 0.8191623687744141, '秒')] - [renrenche.py:416]
2018-04-20 09:18:50,117 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '北汽新能源', '车辆数:', 0, '耗时:', 0.6943264007568359, '秒')] - [renrenche.py:416]
2018-04-20 09:18:50,967 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '北汽制造', '车辆数:', 0, '耗时:', 0.8088231086730957, '秒')] - [renrenche.py:416]
2018-04-20 09:18:52,117 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '奔驰', '车辆数:', 0, '耗时:', 1.1034471988677979, '秒')] - [renrenche.py:416]
2018-04-20 09:18:53,022 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '奔腾', '车辆数:', 0, '耗时:', 0.86053466796875, '秒')] - [renrenche.py:416]
2018-04-20 09:18:55,957 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '本田', '车辆数:', 0, '耗时:', 2.8224434852600098, '秒')] - [renrenche.py:416]
2018-04-20 09:18:56,839 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '标致', '车辆数:', 0, '耗时:', 0.8482906818389893, '秒')] - [renrenche.py:416]
2018-04-20 09:18:58,563 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '别克', '车辆数:', 0, '耗时:', 1.651458978652954, '秒')] - [renrenche.py:416]
2018-04-20 09:18:59,400 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '比亚迪', '车辆数:', 0, '耗时:', 0.8018472194671631, '秒')] - [renrenche.py:416]
2018-04-20 09:19:00,127 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '长安', '车辆数:', 0, '耗时:', 0.6842856407165527, '秒')] - [renrenche.py:416]
2018-04-20 09:19:00,992 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '长安商用', '车辆数:', 0, '耗时:', 0.8286328315734863, '秒')] - [renrenche.py:416]
2018-04-20 09:19:01,847 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '长城', '车辆数:', 0, '耗时:', 0.8022346496582031, '秒')] - [renrenche.py:416]
2018-04-20 09:19:02,754 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '昌河', '车辆数:', 0, '耗时:', 0.8733506202697754, '秒')] - [renrenche.py:416]
2018-04-20 09:19:03,573 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '道奇', '车辆数:', 0, '耗时:', 0.7929365634918213, '秒')] - [renrenche.py:416]
2018-04-20 09:19:08,475 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '大众', '车辆数:', 0, '耗时:', 4.673955678939819, '秒')] - [renrenche.py:416]
2018-04-20 09:19:09,323 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '东风', '车辆数:', 0, '耗时:', 0.7998805046081543, '秒')] - [renrenche.py:416]
2018-04-20 09:19:10,337 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '东南', '车辆数:', 0, '耗时:', 0.9531240463256836, '秒')] - [renrenche.py:416]
