2018-04-20 09:18:41,576 - rrc-process[1] - INFO - [('城市', '哈尔滨', '开始')] - [renrenche.py:381]
2018-04-20 09:18:46,710 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '奥迪', '车辆数:', 0, '耗时:', 3.5458390712738037, '秒')] - [renrenche.py:416]
2018-04-20 09:18:48,677 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '宝骏', '车辆数:', 0, '耗时:', 1.891186237335205, '秒')] - [renrenche.py:416]
2018-04-20 09:18:51,796 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '宝马', '车辆数:', 0, '耗时:', 3.0067715644836426, '秒')] - [renrenche.py:416]
2018-04-20 09:18:52,604 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '保时捷', '车辆数:', 0, '耗时:', 0.7795066833496094, '秒')] - [renrenche.py:416]
2018-04-20 09:18:53,497 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '北京', '车辆数:', 0, '耗时:', 0.8646948337554932, '秒')] - [renrenche.py:416]
2018-04-20 09:18:54,739 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '北汽幻速', '车辆数:', 0, '耗时:', 1.2131102085113525, '秒')] - [renrenche.py:416]
2018-04-20 09:18:55,532 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '北汽绅宝', '车辆数:', 0, '耗时:', 0.7616260051727295, '秒')] - [renrenche.py:416]
2018-04-20 09:18:56,426 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '北汽威旺', '车辆数:', 0, '耗时:', 0.8661613464355469, '秒')] - [renrenche.py:416]
2018-04-20 09:18:57,341 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '北汽制造', '车辆数:', 0, '耗时:', 0.8886475563049316, '秒')] - [renrenche.py:416]
2018-04-20 09:19:00,133 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '奔驰', '车辆数:', 0, '耗时:', 2.671942949295044, '秒')] - [renrenche.py:416]
2018-04-20 09:19:01,864 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '奔腾', '车辆数:', 0, '耗时:', 1.640643835067749, '秒')] - [renrenche.py:416]
2018-04-20 09:19:08,710 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '本田', '车辆数:', 0, '耗时:', 6.545385837554932, '秒')] - [renrenche.py:416]
2018-04-20 09:19:11,493 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '标致', '车辆数:', 0, '耗时:', 2.645519495010376, '秒')] - [renrenche.py:416]
2018-04-20 09:19:15,374 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '别克', '车辆数:', 0, '耗时:', 3.7177541255950928, '秒')] - [renrenche.py:416]
2018-04-20 09:19:16,280 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '宾利', '车辆数:', 0, '耗时:', 0.8283383846282959, '秒')] - [renrenche.py:416]
2018-04-20 09:19:20,499 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '比亚迪', '车辆数:', 0, '耗时:', 3.997208833694458, '秒')] - [renrenche.py:416]
2018-04-20 09:19:22,566 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '长安', '车辆数:', 0, '耗时:', 1.94083833694458, '秒')] - [renrenche.py:416]
2018-04-20 09:19:23,557 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '长安商用', '车辆数:', 0, '耗时:', 0.9377329349517822, '秒')] - [renrenche.py:416]
2018-04-20 09:19:26,475 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '长城', '车辆数:', 0, '耗时:', 2.7299821376800537, '秒')] - [renrenche.py:416]
2018-04-20 09:19:27,383 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '昌河', '车辆数:', 0, '耗时:', 0.8698840141296387, '秒')] - [renrenche.py:416]
2018-04-20 09:19:28,231 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', 'DS', '车辆数:', 0, '耗时:', 0.8153555393218994, '秒')] - [renrenche.py:416]
2018-04-20 09:19:29,201 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '道奇', '车辆数:', 0, '耗时:', 0.9350600242614746, '秒')] - [renrenche.py:416]
2018-04-20 09:19:46,271 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '大众', '车辆数:', 0, '耗时:', 16.156115293502808, '秒')] - [renrenche.py:416]
2018-04-20 09:19:50,213 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '东风', '车辆数:', 0, '耗时:', 3.7098562717437744, '秒')] - [renrenche.py:416]
2018-04-20 09:19:51,269 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '东南', '车辆数:', 0, '耗时:', 1.0083119869232178, '秒')] - [renrenche.py:416]
2018-04-20 09:19:52,344 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '菲亚特', '车辆数:', 0, '耗时:', 1.0251612663269043, '秒')] - [renrenche.py:416]
2018-04-20 09:20:00,107 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '丰田', '车辆数:', 0, '耗时:', 7.32379412651062, '秒')] - [renrenche.py:416]
2018-04-20 09:20:00,977 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '福迪', '车辆数:', 0, '耗时:', 0.8197085857391357, '秒')] - [renrenche.py:416]
2018-04-20 09:20:01,851 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '福汽启腾', '车辆数:', 0, '耗时:', 0.8161969184875488, '秒')] - [renrenche.py:416]
2018-04-20 09:20:07,933 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '福特', '车辆数:', 0, '耗时:', 5.770563125610352, '秒')] - [renrenche.py:416]
