2018-04-20 09:18:41,803 - rrc-process[3] - INFO - [('城市', '温州', '开始')] - [renrenche.py:381]
2018-04-20 09:18:45,051 - rrc-process[3] - INFO - [('地区及品牌', '温州', '奥迪', '车辆数:', 0, '耗时:', 1.646634817123413, '秒')] - [renrenche.py:416]
2018-04-20 09:18:45,962 - rrc-process[3] - INFO - [('地区及品牌', '温州', '宝骏', '车辆数:', 0, '耗时:', 0.8811590671539307, '秒')] - [renrenche.py:416]
2018-04-20 09:18:46,928 - rrc-process[3] - INFO - [('地区及品牌', '温州', '宝马', '车辆数:', 0, '耗时:', 0.9234275817871094, '秒')] - [renrenche.py:416]
2018-04-20 09:18:47,739 - rrc-process[3] - INFO - [('地区及品牌', '温州', '保时捷', '车辆数:', 0, '耗时:', 0.7831411361694336, '秒')] - [renrenche.py:416]
2018-04-20 09:18:48,589 - rrc-process[3] - INFO - [('地区及品牌', '温州', '北京', '车辆数:', 0, '耗时:', 0.8202002048492432, '秒')] - [renrenche.py:416]
2018-04-20 09:18:49,516 - rrc-process[3] - INFO - [('地区及品牌', '温州', '北汽幻速', '车辆数:', 0, '耗时:', 0.8934435844421387, '秒')] - [renrenche.py:416]
2018-04-20 09:18:50,418 - rrc-process[3] - INFO - [('地区及品牌', '温州', '北汽绅宝', '车辆数:', 0, '耗时:', 0.8716800212860107, '秒')] - [renrenche.py:416]
2018-04-20 09:18:51,244 - rrc-process[3] - INFO - [('地区及品牌', '温州', '北汽威旺', '车辆数:', 0, '耗时:', 0.798919677734375, '秒')] - [renrenche.py:416]
2018-04-20 09:18:53,085 - rrc-process[3] - INFO - [('地区及品牌', '温州', '奔驰', '车辆数:', 0, '耗时:', 1.7293729782104492, '秒')] - [renrenche.py:416]
2018-04-20 09:18:53,985 - rrc-process[3] - INFO - [('地区及品牌', '温州', '奔腾', '车辆数:', 0, '耗时:', 0.8507547378540039, '秒')] - [renrenche.py:416]
2018-04-20 09:18:55,624 - rrc-process[3] - INFO - [('地区及品牌', '温州', '本田', '车辆数:', 0, '耗时:', 1.5678985118865967, '秒')] - [renrenche.py:416]
2018-04-20 09:18:56,306 - rrc-process[3] - INFO - [('地区及品牌', '温州', '标致', '车辆数:', 0, '耗时:', 0.6492946147918701, '秒')] - [renrenche.py:416]
2018-04-20 09:18:58,852 - rrc-process[3] - INFO - [('地区及品牌', '温州', '别克', '车辆数:', 0, '耗时:', 2.4427177906036377, '秒')] - [renrenche.py:416]
2018-04-20 09:18:59,585 - rrc-process[3] - INFO - [('地区及品牌', '温州', '比速汽车', '车辆数:', 0, '耗时:', 0.7078003883361816, '秒')] - [renrenche.py:416]
2018-04-20 09:19:02,123 - rrc-process[3] - INFO - [('地区及品牌', '温州', '比亚迪', '车辆数:', 0, '耗时:', 2.4346835613250732, '秒')] - [renrenche.py:416]
2018-04-20 09:19:03,139 - rrc-process[3] - INFO - [('地区及品牌', '温州', '长安', '车辆数:', 0, '耗时:', 0.9685113430023193, '秒')] - [renrenche.py:416]
2018-04-20 09:19:03,927 - rrc-process[3] - INFO - [('地区及品牌', '温州', '长安商用', '车辆数:', 0, '耗时:', 0.7481439113616943, '秒')] - [renrenche.py:416]
2018-04-20 09:19:04,831 - rrc-process[3] - INFO - [('地区及品牌', '温州', '长城', '车辆数:', 0, '耗时:', 0.8745028972625732, '秒')] - [renrenche.py:416]
2018-04-20 09:19:05,713 - rrc-process[3] - INFO - [('地区及品牌', '温州', '昌河', '车辆数:', 0, '耗时:', 0.8395187854766846, '秒')] - [renrenche.py:416]
2018-04-20 09:19:06,454 - rrc-process[3] - INFO - [('地区及品牌', '温州', '道奇', '车辆数:', 0, '耗时:', 0.7070777416229248, '秒')] - [renrenche.py:416]
